Country,AverageTemperature
Afghanistan,15.676
Angola,24.440250000000002
Australia,16.115333333333332
Bangladesh,26.64816666666667
Brazil,24.129486111111113
Burma,28.216416666666664
Canada,7.444458333333333
Chile,6.132833333333333
China,13.166911764705883
Colombia,21.818541666666665
Congo (Democratic Republic Of The),24.90341666666667
Dominican Republic,27.012083333333333
Egypt,23.298694444444447
Ethiopia,18.29825
France,10.409833333333333
Germany,8.606833333333334
India,26.984166666666667
Indonesia,27.396208333333334
Iran,15.211916666666667
Iraq,25.493916666666667
Italy,12.6285
Ivory Coast,27.44541666666667
Japan,14.846708333333334
Kenya,16.822333333333333
Mexico,15.873083333333334
Morocco,18.82525
Nigeria,27.661749999999998
Pakistan,26.13672222222222
Peru,16.968999999999998
Philippines,27.492333333333335
Russia,5.0772916666666665
Saudi Arabia,28.398416666666666
Senegal,26.103666666666665
Singapore,27.6035
Somalia,28.025583333333334
South Africa,19.106333333333335
South Korea,11.298333333333332
Spain,12.006416666666667
Sudan,30.730166666666666
Syria,19.97941666666667
Tanzania,26.70441666666667
Thailand,28.536916666666666
Turkey,16.046583333333334
Ukraine,8.965
United Kingdom,9.3755
United States,13.020166666666666
Vietnam,28.281750000000002
Zimbabwe,21.165833333333335
