,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
34743,1820-08-01,19.674,2.283,Changchun,China,44.20N,125.22E
34744,1820-09-01,14.841,1.792,Changchun,China,44.20N,125.22E
34745,1820-10-01,4.825,1.911,Changchun,China,44.20N,125.22E
34746,1820-11-01,-5.807,2.309,Changchun,China,44.20N,125.22E
34747,1820-12-01,-15.398,2.601,Changchun,China,44.20N,125.22E
34748,1821-01-01,-15.507,2.683,Changchun,China,44.20N,125.22E
34749,1821-02-01,-11.039,2.821,Changchun,China,44.20N,125.22E
34750,1821-03-01,-2.761,2.427,Changchun,China,44.20N,125.22E
34751,1821-04-01,6.081,2.339,Changchun,China,44.20N,125.22E
34752,1821-05-01,14.635,1.854,Changchun,China,44.20N,125.22E
34753,1821-06-01,19.433,2.016,Changchun,China,44.20N,125.22E
34754,1821-07-01,22.179,2.044,Changchun,China,44.20N,125.22E
34755,1821-08-01,21.204,1.734,Changchun,China,44.20N,125.22E
34756,1821-09-01,13.604,1.831,Changchun,China,44.20N,125.22E
34757,1821-10-01,5.666,1.916,Changchun,China,44.20N,125.22E
34758,1821-11-01,-4.091,2.801,Changchun,China,44.20N,125.22E
34759,1821-12-01,-13.935,2.659,Changchun,China,44.20N,125.22E
34760,1822-01-01,-16.842,2.743,Changchun,China,44.20N,125.22E
34761,1822-02-01,-11.219,2.772,Changchun,China,44.20N,125.22E
34762,1822-03-01,-0.313,2.605,Changchun,China,44.20N,125.22E
34763,1822-04-01,6.811,2.249,Changchun,China,44.20N,125.22E
34764,1822-05-01,14.012,1.956,Changchun,China,44.20N,125.22E
34765,1822-06-01,20.221,1.767,Changchun,China,44.20N,125.22E
34766,1822-07-01,23.439,1.721,Changchun,China,44.20N,125.22E
34767,1822-08-01,21.108,1.968,Changchun,China,44.20N,125.22E
34768,1822-09-01,14.311,1.809,Changchun,China,44.20N,125.22E
34769,1822-10-01,5.19,1.912,Changchun,China,44.20N,125.22E
34770,1822-11-01,-5.535,2.42,Changchun,China,44.20N,125.22E
34771,1822-12-01,-15.663,2.909,Changchun,China,44.20N,125.22E
34772,1823-01-01,-17.596,2.527,Changchun,China,44.20N,125.22E
34773,1823-02-01,-13.556,2.875,Changchun,China,44.20N,125.22E
34774,1823-03-01,-3.551,2.549,Changchun,China,44.20N,125.22E
34775,1823-04-01,5.866,2.539,Changchun,China,44.20N,125.22E
34776,1823-05-01,13.895,1.955,Changchun,China,44.20N,125.22E
34777,1823-06-01,21.158,2.184,Changchun,China,44.20N,125.22E
34778,1823-07-01,23.463,1.727,Changchun,China,44.20N,125.22E
34779,1823-08-01,20.895,1.747,Changchun,China,44.20N,125.22E
34780,1823-09-01,13.675,1.662,Changchun,China,44.20N,125.22E
34781,1823-10-01,4.607,2.053,Changchun,China,44.20N,125.22E
34782,1823-11-01,-5.216,2.533,Changchun,China,44.20N,125.22E
34783,1823-12-01,-14.534,2.544,Changchun,China,44.20N,125.22E
34784,1824-01-01,-16.532,2.461,Changchun,China,44.20N,125.22E
34785,1824-02-01,-12.517,2.641,Changchun,China,44.20N,125.22E
34786,1824-03-01,-3.089,2.557,Changchun,China,44.20N,125.22E
34787,1824-04-01,6.794,2.468,Changchun,China,44.20N,125.22E
34788,1824-05-01,14.725,2.103,Changchun,China,44.20N,125.22E
34789,1824-06-01,20.64,2.593,Changchun,China,44.20N,125.22E
34790,1824-07-01,23.886,2.866,Changchun,China,44.20N,125.22E
34791,1824-08-01,21.31,1.861,Changchun,China,44.20N,125.22E
34792,1824-09-01,14.999,1.751,Changchun,China,44.20N,125.22E
34793,1824-10-01,5.629,1.923,Changchun,China,44.20N,125.22E
34794,1824-11-01,-3.839,2.374,Changchun,China,44.20N,125.22E
34795,1824-12-01,-11.034,2.721,Changchun,China,44.20N,125.22E
34796,1825-01-01,-15.496,2.568,Changchun,China,44.20N,125.22E
34797,1825-02-01,-12.647,2.666,Changchun,China,44.20N,125.22E
34798,1825-03-01,-3.34,2.602,Changchun,China,44.20N,125.22E
34799,1825-04-01,7.204,2.588,Changchun,China,44.20N,125.22E
34800,1825-05-01,14.583,1.808,Changchun,China,44.20N,125.22E
34801,1825-06-01,21.293,1.722,Changchun,China,44.20N,125.22E
34802,1825-07-01,22.819,1.904,Changchun,China,44.20N,125.22E
34803,1825-08-01,20.899,1.8,Changchun,China,44.20N,125.22E
34804,1825-09-01,14.61,1.844,Changchun,China,44.20N,125.22E
34805,1825-10-01,5.412,2.119,Changchun,China,44.20N,125.22E
34806,1825-11-01,-3.231,2.494,Changchun,China,44.20N,125.22E
34807,1825-12-01,-13.759,2.505,Changchun,China,44.20N,125.22E
34808,1826-01-01,-17.231,2.5,Changchun,China,44.20N,125.22E
34809,1826-02-01,-14.339,2.814,Changchun,China,44.20N,125.22E
34810,1826-03-01,-3.629,2.481,Changchun,China,44.20N,125.22E
34811,1826-04-01,6.636,2.812,Changchun,China,44.20N,125.22E
34812,1826-05-01,15.337,1.886,Changchun,China,44.20N,125.22E
34813,1826-06-01,20.725,1.867,Changchun,China,44.20N,125.22E
34814,1826-07-01,23.676,1.767,Changchun,China,44.20N,125.22E
34815,1826-08-01,20.876,1.726,Changchun,China,44.20N,125.22E
34816,1826-09-01,14.623,2.034,Changchun,China,44.20N,125.22E
34817,1826-10-01,5.909,2.227,Changchun,China,44.20N,125.22E
34818,1826-11-01,-3.414,2.296,Changchun,China,44.20N,125.22E
34819,1826-12-01,-11.813,2.972,Changchun,China,44.20N,125.22E
34820,1827-01-01,-15.289,3.059,Changchun,China,44.20N,125.22E
34821,1827-02-01,-11.461,2.556,Changchun,China,44.20N,125.22E
34822,1827-03-01,-1.936,2.458,Changchun,China,44.20N,125.22E
34823,1827-04-01,7.45,3.032,Changchun,China,44.20N,125.22E
34824,1827-05-01,15.317,2.464,Changchun,China,44.20N,125.22E
34825,1827-06-01,21.209,1.832,Changchun,China,44.20N,125.22E
34826,1827-07-01,24.06,1.758,Changchun,China,44.20N,125.22E
34827,1827-08-01,21.508,1.674,Changchun,China,44.20N,125.22E
34828,1827-09-01,14.552,1.66,Changchun,China,44.20N,125.22E
34829,1827-10-01,5.938,1.844,Changchun,China,44.20N,125.22E
34830,1827-11-01,-3.488,2.311,Changchun,China,44.20N,125.22E
34831,1827-12-01,-13.988,3.432,Changchun,China,44.20N,125.22E
34832,1828-01-01,-18.942,3.034,Changchun,China,44.20N,125.22E
34833,1828-02-01,-13.9,2.883,Changchun,China,44.20N,125.22E
34834,1828-03-01,-2.769,2.809,Changchun,China,44.20N,125.22E
34835,1828-04-01,6.542,2.458,Changchun,China,44.20N,125.22E
34836,1828-05-01,14.321,1.996,Changchun,China,44.20N,125.22E
34837,1828-06-01,21.075,2.208,Changchun,China,44.20N,125.22E
34838,1828-07-01,23.958,1.92,Changchun,China,44.20N,125.22E
34839,1828-08-01,21.509,1.893,Changchun,China,44.20N,125.22E
34840,1828-09-01,13.781,1.67,Changchun,China,44.20N,125.22E
34841,1828-10-01,6.154,1.995,Changchun,China,44.20N,125.22E
34842,1828-11-01,-3.881,2.41,Changchun,China,44.20N,125.22E
34843,1828-12-01,-13.192,2.617,Changchun,China,44.20N,125.22E
34844,1829-01-01,-16.938,2.574,Changchun,China,44.20N,125.22E
34845,1829-02-01,-13.847,3.182,Changchun,China,44.20N,125.22E
34846,1829-03-01,-3.473,2.544,Changchun,China,44.20N,125.22E
34847,1829-04-01,5.709,2.046,Changchun,China,44.20N,125.22E
34848,1829-05-01,14.226,2.125,Changchun,China,44.20N,125.22E
34849,1829-06-01,19.916,2.149,Changchun,China,44.20N,125.22E
34850,1829-07-01,23.886,1.768,Changchun,China,44.20N,125.22E
34851,1829-08-01,21.227,1.739,Changchun,China,44.20N,125.22E
34852,1829-09-01,13.989,1.569,Changchun,China,44.20N,125.22E
34853,1829-10-01,6.153,2.174,Changchun,China,44.20N,125.22E
34854,1829-11-01,-4.582,2.275,Changchun,China,44.20N,125.22E
34855,1829-12-01,-13.353,2.877,Changchun,China,44.20N,125.22E
34856,1830-01-01,-15.694,2.551,Changchun,China,44.20N,125.22E
34857,1830-02-01,-11.386,2.449,Changchun,China,44.20N,125.22E
34858,1830-03-01,-4.187,2.324,Changchun,China,44.20N,125.22E
34859,1830-04-01,6.657,1.986,Changchun,China,44.20N,125.22E
34860,1830-05-01,13.623,1.893,Changchun,China,44.20N,125.22E
34861,1830-06-01,19.587,1.847,Changchun,China,44.20N,125.22E
34862,1830-07-01,24.051,1.976,Changchun,China,44.20N,125.22E
34863,1830-08-01,21.02,1.717,Changchun,China,44.20N,125.22E
34864,1830-09-01,13.609,1.567,Changchun,China,44.20N,125.22E
34865,1830-10-01,4.54,1.941,Changchun,China,44.20N,125.22E
34866,1830-11-01,-2.346,2.414,Changchun,China,44.20N,125.22E
34867,1830-12-01,-12.373,2.632,Changchun,China,44.20N,125.22E
34868,1831-01-01,-17.037,2.912,Changchun,China,44.20N,125.22E
34869,1831-02-01,-14.493,2.693,Changchun,China,44.20N,125.22E
34870,1831-03-01,-4.754,2.289,Changchun,China,44.20N,125.22E
34871,1831-04-01,5.449,1.893,Changchun,China,44.20N,125.22E
34872,1831-05-01,13.785,1.969,Changchun,China,44.20N,125.22E
34873,1831-06-01,20.575,2.124,Changchun,China,44.20N,125.22E
34874,1831-07-01,22.75,1.855,Changchun,China,44.20N,125.22E
34875,1831-08-01,20.157,1.691,Changchun,China,44.20N,125.22E
34876,1831-09-01,13.405,1.664,Changchun,China,44.20N,125.22E
34877,1831-10-01,5.271,1.853,Changchun,China,44.20N,125.22E
34878,1831-11-01,-6.933,2.281,Changchun,China,44.20N,125.22E
34879,1831-12-01,-14.031,2.643,Changchun,China,44.20N,125.22E
34880,1832-01-01,-17.483,2.397,Changchun,China,44.20N,125.22E
34881,1832-02-01,-13.152,2.552,Changchun,China,44.20N,125.22E
34882,1832-03-01,-3.595,2.503,Changchun,China,44.20N,125.22E
34883,1832-04-01,6.943,2.284,Changchun,China,44.20N,125.22E
34884,1832-05-01,13.66,2.196,Changchun,China,44.20N,125.22E
34885,1832-06-01,19.925,1.963,Changchun,China,44.20N,125.22E
34886,1832-07-01,22.259,1.817,Changchun,China,44.20N,125.22E
34887,1832-08-01,19.691,1.786,Changchun,China,44.20N,125.22E
34888,1832-09-01,13.415,1.748,Changchun,China,44.20N,125.22E
34889,1832-10-01,,,Changchun,China,44.20N,125.22E
34890,1832-11-01,-5.297,2.166,Changchun,China,44.20N,125.22E
34891,1832-12-01,-16.023,2.587,Changchun,China,44.20N,125.22E
34892,1833-01-01,-17.272,2.529,Changchun,China,44.20N,125.22E
34893,1833-02-01,-13.002,2.488,Changchun,China,44.20N,125.22E
34894,1833-03-01,-4.797,2.394,Changchun,China,44.20N,125.22E
34895,1833-04-01,5.538,2.326,Changchun,China,44.20N,125.22E
34896,1833-05-01,14.312,1.716,Changchun,China,44.20N,125.22E
34897,1833-06-01,19.554,1.808,Changchun,China,44.20N,125.22E
34898,1833-07-01,22.796,1.748,Changchun,China,44.20N,125.22E
34899,1833-08-01,20.823,1.778,Changchun,China,44.20N,125.22E
34900,1833-09-01,14.849,1.662,Changchun,China,44.20N,125.22E
34901,1833-10-01,4.992,1.865,Changchun,China,44.20N,125.22E
34902,1833-11-01,-3.029,2.326,Changchun,China,44.20N,125.22E
34903,1833-12-01,-13.591,2.664,Changchun,China,44.20N,125.22E
34904,1834-01-01,-19.371,2.387,Changchun,China,44.20N,125.22E
34905,1834-02-01,-13.161,2.669,Changchun,China,44.20N,125.22E
34906,1834-03-01,-2.185,2.368,Changchun,China,44.20N,125.22E
34907,1834-04-01,6.333,2.429,Changchun,China,44.20N,125.22E
34908,1834-05-01,14.949,1.714,Changchun,China,44.20N,125.22E
34909,1834-06-01,20.291,1.832,Changchun,China,44.20N,125.22E
34910,1834-07-01,23.333,1.732,Changchun,China,44.20N,125.22E
34911,1834-08-01,21.142,1.749,Changchun,China,44.20N,125.22E
34912,1834-09-01,15.677,1.891,Changchun,China,44.20N,125.22E
34913,1834-10-01,5.72,1.895,Changchun,China,44.20N,125.22E
34914,1834-11-01,-3.266,2.522,Changchun,China,44.20N,125.22E
34915,1834-12-01,-12.78,2.365,Changchun,China,44.20N,125.22E
34916,1835-01-01,-16.043,2.64,Changchun,China,44.20N,125.22E
34917,1835-02-01,-11.91,2.518,Changchun,China,44.20N,125.22E
34918,1835-03-01,-4.285,2.556,Changchun,China,44.20N,125.22E
34919,1835-04-01,6.361,2.064,Changchun,China,44.20N,125.22E
34920,1835-05-01,13.284,1.815,Changchun,China,44.20N,125.22E
34921,1835-06-01,19.183,2.112,Changchun,China,44.20N,125.22E
34922,1835-07-01,22.111,1.915,Changchun,China,44.20N,125.22E
34923,1835-08-01,19.914,1.621,Changchun,China,44.20N,125.22E
34924,1835-09-01,13.6,1.715,Changchun,China,44.20N,125.22E
34925,1835-10-01,4.904,1.914,Changchun,China,44.20N,125.22E
34926,1835-11-01,-6.09,2.226,Changchun,China,44.20N,125.22E
34927,1835-12-01,-15.119,2.386,Changchun,China,44.20N,125.22E
34928,1836-01-01,-17.149,2.318,Changchun,China,44.20N,125.22E
34929,1836-02-01,-13.294,2.506,Changchun,China,44.20N,125.22E
34930,1836-03-01,-2.914,2.283,Changchun,China,44.20N,125.22E
34931,1836-04-01,5.237,2.1,Changchun,China,44.20N,125.22E
34932,1836-05-01,13.543,1.921,Changchun,China,44.20N,125.22E
34933,1836-06-01,19.754,1.826,Changchun,China,44.20N,125.22E
34934,1836-07-01,23.107,1.631,Changchun,China,44.20N,125.22E
34935,1836-08-01,20.566,1.767,Changchun,China,44.20N,125.22E
34936,1836-09-01,14.682,1.872,Changchun,China,44.20N,125.22E
34937,1836-10-01,7.014,2.02,Changchun,China,44.20N,125.22E
34938,1836-11-01,-6.374,2.426,Changchun,China,44.20N,125.22E
34939,1836-12-01,-13.112,2.57,Changchun,China,44.20N,125.22E
34940,1837-01-01,-17.004,2.554,Changchun,China,44.20N,125.22E
34941,1837-02-01,-12.67,2.495,Changchun,China,44.20N,125.22E
34942,1837-03-01,-5.263,2.415,Changchun,China,44.20N,125.22E
34943,1837-04-01,4.473,2.099,Changchun,China,44.20N,125.22E
34944,1837-05-01,12.929,1.766,Changchun,China,44.20N,125.22E
34945,1837-06-01,19.073,1.872,Changchun,China,44.20N,125.22E
34946,1837-07-01,23.085,1.619,Changchun,China,44.20N,125.22E
34947,1837-08-01,21.188,1.604,Changchun,China,44.20N,125.22E
34948,1837-09-01,14.377,1.62,Changchun,China,44.20N,125.22E
34949,1837-10-01,5.413,1.765,Changchun,China,44.20N,125.22E
34950,1837-11-01,-6.433,2.515,Changchun,China,44.20N,125.22E
34951,1837-12-01,-12.623,2.36,Changchun,China,44.20N,125.22E
34952,1838-01-01,-19.916,2.777,Changchun,China,44.20N,125.22E
34953,1838-02-01,-14.223,2.495,Changchun,China,44.20N,125.22E
34954,1838-03-01,-4.297,2.675,Changchun,China,44.20N,125.22E
34955,1838-04-01,6.594,2.345,Changchun,China,44.20N,125.22E
34956,1838-05-01,13.253,1.772,Changchun,China,44.20N,125.22E
34957,1838-06-01,20.295,1.659,Changchun,China,44.20N,125.22E
34958,1838-07-01,24.21,1.776,Changchun,China,44.20N,125.22E
34959,1838-08-01,22.381,1.616,Changchun,China,44.20N,125.22E
34960,1838-09-01,15.331,1.588,Changchun,China,44.20N,125.22E
34961,1838-10-01,6.516,1.91,Changchun,China,44.20N,125.22E
34962,1838-11-01,-5.058,2.705,Changchun,China,44.20N,125.22E
34963,1838-12-01,-13.373,2.473,Changchun,China,44.20N,125.22E
34964,1839-01-01,-17.456,2.471,Changchun,China,44.20N,125.22E
34965,1839-02-01,-13.696,3.226,Changchun,China,44.20N,125.22E
34966,1839-03-01,-6.132,2.271,Changchun,China,44.20N,125.22E
34967,1839-04-01,5.208,2.425,Changchun,China,44.20N,125.22E
34968,1839-05-01,13.791,1.536,Changchun,China,44.20N,125.22E
34969,1839-06-01,19.85,1.528,Changchun,China,44.20N,125.22E
34970,1839-07-01,22.725,3.105,Changchun,China,44.20N,125.22E
34971,1839-08-01,21.658,1.846,Changchun,China,44.20N,125.22E
34972,1839-09-01,15.12,1.5,Changchun,China,44.20N,125.22E
34973,1839-10-01,4.196,3.413,Changchun,China,44.20N,125.22E
34974,1839-11-01,-6.28,2.438,Changchun,China,44.20N,125.22E
34975,1839-12-01,-16.49,2.979,Changchun,China,44.20N,125.22E
34976,1840-01-01,-16.404,2.781,Changchun,China,44.20N,125.22E
34977,1840-02-01,-13.17,2.651,Changchun,China,44.20N,125.22E
34978,1840-03-01,-5.802,2.095,Changchun,China,44.20N,125.22E
34979,1840-04-01,6.884,2.233,Changchun,China,44.20N,125.22E
34980,1840-05-01,15.214,2.233,Changchun,China,44.20N,125.22E
34981,1840-06-01,20.956,1.712,Changchun,China,44.20N,125.22E
34982,1840-07-01,24.592,1.978,Changchun,China,44.20N,125.22E
34983,1840-08-01,21.695,2.26,Changchun,China,44.20N,125.22E
34984,1840-09-01,14.726,1.498,Changchun,China,44.20N,125.22E
34985,1840-10-01,5.493,2.437,Changchun,China,44.20N,125.22E
34986,1840-11-01,-4.135,4.597,Changchun,China,44.20N,125.22E
34987,1840-12-01,-14.694,2.616,Changchun,China,44.20N,125.22E
34988,1841-01-01,-20.262,2.113,Changchun,China,44.20N,125.22E
34989,1841-02-01,-14.237,2.185,Changchun,China,44.20N,125.22E
34990,1841-03-01,-6.536,2.12,Changchun,China,44.20N,125.22E
34991,1841-04-01,5.63,2.356,Changchun,China,44.20N,125.22E
34992,1841-05-01,13.87,1.386,Changchun,China,44.20N,125.22E
34993,1841-06-01,19.729,2.609,Changchun,China,44.20N,125.22E
34994,1841-07-01,23.275,1.56,Changchun,China,44.20N,125.22E
34995,1841-08-01,21.396,1.361,Changchun,China,44.20N,125.22E
34996,1841-09-01,14.285,1.205,Changchun,China,44.20N,125.22E
34997,1841-10-01,4.906,1.883,Changchun,China,44.20N,125.22E
34998,1841-11-01,-5.817,1.717,Changchun,China,44.20N,125.22E
34999,1841-12-01,-14.223,2.043,Changchun,China,44.20N,125.22E
35000,1842-01-01,-17.611,1.562,Changchun,China,44.20N,125.22E
35001,1842-02-01,-12.729,2.035,Changchun,China,44.20N,125.22E
35002,1842-03-01,-2.964,2.626,Changchun,China,44.20N,125.22E
35003,1842-04-01,7.155,1.968,Changchun,China,44.20N,125.22E
35004,1842-05-01,13.465,1.248,Changchun,China,44.20N,125.22E
35005,1842-06-01,19.833,1.227,Changchun,China,44.20N,125.22E
35006,1842-07-01,22.535,1.464,Changchun,China,44.20N,125.22E
35007,1842-08-01,21.055,1.117,Changchun,China,44.20N,125.22E
35008,1842-09-01,14.94,1.287,Changchun,China,44.20N,125.22E
35009,1842-10-01,5.189,2.091,Changchun,China,44.20N,125.22E
35010,1842-11-01,-5.705,2.116,Changchun,China,44.20N,125.22E
35011,1842-12-01,-12.464,1.88,Changchun,China,44.20N,125.22E
35012,1843-01-01,-16.637,1.655,Changchun,China,44.20N,125.22E
35013,1843-02-01,-10.544,1.847,Changchun,China,44.20N,125.22E
35014,1843-03-01,-1.333,4.252,Changchun,China,44.20N,125.22E
35015,1843-04-01,6.873,1.331,Changchun,China,44.20N,125.22E
35016,1843-05-01,13.211,1.165,Changchun,China,44.20N,125.22E
35017,1843-06-01,18.505,1.883,Changchun,China,44.20N,125.22E
35018,1843-07-01,23.515,1.714,Changchun,China,44.20N,125.22E
35019,1843-08-01,21.499,1.255,Changchun,China,44.20N,125.22E
35020,1843-09-01,14.921,1.018,Changchun,China,44.20N,125.22E
35021,1843-10-01,4.86,2.744,Changchun,China,44.20N,125.22E
35022,1843-11-01,-4.844,1.406,Changchun,China,44.20N,125.22E
35023,1843-12-01,-12.516,3.061,Changchun,China,44.20N,125.22E
35024,1844-01-01,-16.009,2.382,Changchun,China,44.20N,125.22E
35025,1844-02-01,-13.424,2.422,Changchun,China,44.20N,125.22E
35026,1844-03-01,-3.05,1.815,Changchun,China,44.20N,125.22E
35027,1844-04-01,5.432,1.748,Changchun,China,44.20N,125.22E
35028,1844-05-01,13.632,1.15,Changchun,China,44.20N,125.22E
35029,1844-06-01,19.489,1.289,Changchun,China,44.20N,125.22E
35030,1844-07-01,22.92,1.506,Changchun,China,44.20N,125.22E
35031,1844-08-01,21.514,1.35,Changchun,China,44.20N,125.22E
35032,1844-09-01,15.096,1.283,Changchun,China,44.20N,125.22E
35033,1844-10-01,6.98,1.305,Changchun,China,44.20N,125.22E
35034,1844-11-01,-3.218,2.605,Changchun,China,44.20N,125.22E
35035,1844-12-01,-14.812,1.804,Changchun,China,44.20N,125.22E
35036,1845-01-01,-14.714,3.822,Changchun,China,44.20N,125.22E
35037,1845-02-01,-13.21,2.648,Changchun,China,44.20N,125.22E
35038,1845-03-01,-3.294,1.17,Changchun,China,44.20N,125.22E
35039,1845-04-01,6.595,1.088,Changchun,China,44.20N,125.22E
35040,1845-05-01,14.481,0.822,Changchun,China,44.20N,125.22E
35041,1845-06-01,20.891,1.015,Changchun,China,44.20N,125.22E
35042,1845-07-01,23.441,1.05,Changchun,China,44.20N,125.22E
35043,1845-08-01,20.902,0.718,Changchun,China,44.20N,125.22E
35044,1845-09-01,14.902,1.167,Changchun,China,44.20N,125.22E
35045,1845-10-01,5.145,1.076,Changchun,China,44.20N,125.22E
35046,1845-11-01,-5.003,1.372,Changchun,China,44.20N,125.22E
35047,1845-12-01,-16.106,1.571,Changchun,China,44.20N,125.22E
35048,1846-01-01,-15.928,1.589,Changchun,China,44.20N,125.22E
35049,1846-02-01,-12.035,1.885,Changchun,China,44.20N,125.22E
35050,1846-03-01,-2.56,1.828,Changchun,China,44.20N,125.22E
35051,1846-04-01,6.268,1.934,Changchun,China,44.20N,125.22E
