,T,AT
0,1847-07-01,14.091000000000001
1,1851-07-01,14.365
2,1852-07-01,14.253
3,1854-07-01,14.513
4,1855-06-01,12.956999999999999
5,1855-07-01,13.747
6,1855-08-01,13.427999999999999
7,1855-09-01,11.123
8,1856-07-01,14.263
9,1857-07-01,13.828000000000001
10,1857-08-01,13.209
11,1857-10-01,8.267
12,1858-06-01,13.270999999999999
13,1858-07-01,13.902000000000001
14,1858-08-01,13.317
15,1858-09-01,11.209
16,1858-10-01,8.859
17,1859-04-01,8.658
18,1859-08-01,13.354
19,1859-09-01,11.155999999999999
20,1859-10-01,9.004
21,1860-06-01,13.366
22,1861-06-01,13.049999999999999
23,1861-08-01,13.842
24,1862-05-01,10.904
25,1862-09-01,11.075999999999999
26,1863-05-01,11.253
27,1863-08-01,13.199
28,1865-05-01,10.933
29,1865-10-01,9.181999999999999
30,1866-06-01,12.901
31,1867-05-01,10.584999999999999
32,1867-06-01,13.437999999999999
33,1867-09-01,11.94
34,1868-06-01,13.346
35,1868-07-01,14.645000000000001
36,1868-08-01,13.856
37,1868-09-01,11.545
38,1869-09-01,12.392
39,1870-06-01,13.769
40,1870-07-01,14.618
41,1870-08-01,13.529
42,1870-09-01,11.998999999999999
43,1871-04-01,8.356
44,1871-06-01,13.116999999999999
45,1871-08-01,13.894
46,1871-09-01,11.579999999999998
47,1871-10-01,9.037999999999998
48,1872-06-01,13.051
49,1872-07-01,14.279
50,1872-08-01,13.825
51,1872-09-01,11.834
52,1872-10-01,9.048
53,1873-05-01,10.942
54,1873-06-01,13.372
55,1873-07-01,14.267000000000001
56,1873-08-01,13.784
57,1873-09-01,11.505999999999998
58,1873-10-01,9.129999999999999
59,1874-03-01,4.116
60,1874-04-01,8.133
61,1874-06-01,13.312
62,1874-07-01,14.127
63,1874-08-01,13.815
64,1874-09-01,12.129
65,1874-10-01,9.145999999999999
66,1875-03-01,4.2620000000000005
67,1875-04-01,7.544999999999999
68,1875-05-01,10.78
69,1875-06-01,13.203999999999999
70,1875-07-01,14.185
71,1875-09-01,11.274
72,1875-10-01,8.635
73,1876-04-01,8.234
74,1876-05-01,10.668
75,1876-06-01,13.16
76,1876-07-01,14.314
77,1876-08-01,13.493
78,1876-09-01,11.690999999999999
79,1876-10-01,8.968
80,1876-11-01,5.105
81,1876-12-01,2.1609999999999996
82,1877-03-01,5.345
83,1877-04-01,7.990999999999999
84,1877-06-01,13.31
85,1877-07-01,14.667
86,1877-08-01,14.188
87,1877-09-01,12.12
88,1877-10-01,9.273
89,1878-03-01,6.71
90,1878-04-01,8.92
91,1878-05-01,11.029
92,1878-06-01,13.841
93,1878-07-01,14.828000000000001
94,1878-08-01,14.184
95,1878-09-01,12.101999999999999
96,1878-10-01,9.162999999999998
97,1878-11-01,6.455
98,1878-12-01,3.3899999999999997
99,1879-03-01,5.059
100,1879-04-01,7.783999999999999
101,1879-05-01,10.876
102,1879-06-01,13.216
103,1879-07-01,14.209
104,1879-08-01,13.315
105,1879-09-01,11.479
106,1879-10-01,9.327
107,1879-11-01,5.4510000000000005
108,1880-03-01,4.36
109,1880-04-01,7.398999999999999
110,1880-05-01,10.979999999999999
111,1880-06-01,13.136
112,1880-07-01,14.127
113,1880-08-01,13.625
114,1880-09-01,11.401
115,1880-10-01,8.654
116,1880-11-01,5.767
117,1880-12-01,3.195
118,1881-02-01,2.593
119,1881-03-01,5.026
120,1881-04-01,8.325
121,1881-05-01,11.110999999999999
122,1881-06-01,12.7
123,1881-07-01,14.17
124,1881-08-01,13.778
125,1881-09-01,11.720999999999998
126,1881-10-01,8.824
127,1881-11-01,5.285
128,1881-12-01,3.267
129,1882-01-01,3.1079999999999997
130,1882-02-01,3.2720000000000002
131,1882-03-01,4.962
132,1882-04-01,7.645999999999999
133,1882-05-01,10.892
134,1882-06-01,12.873
135,1882-07-01,13.748000000000001
136,1882-08-01,13.629999999999999
137,1882-09-01,11.796999999999999
138,1882-10-01,8.511999999999999
139,1882-11-01,5.03
140,1883-01-01,1.5899999999999999
141,1883-03-01,5.05
142,1883-04-01,7.732999999999999
143,1883-05-01,10.838
144,1883-06-01,13.338
145,1883-07-01,14.011000000000001
146,1883-08-01,13.252
147,1883-09-01,11.407
148,1883-10-01,8.960999999999999
149,1883-11-01,4.998
150,1883-12-01,3.354
151,1884-01-01,2.264
152,1884-02-01,2.6430000000000002
153,1884-03-01,3.987
154,1884-04-01,7.204999999999999
155,1884-05-01,10.152
156,1884-06-01,12.552999999999999
157,1884-07-01,13.671000000000001
158,1884-08-01,13.334
159,1884-09-01,11.255999999999998
160,1884-10-01,8.562
161,1884-11-01,5.1690000000000005
162,1884-12-01,3.109
163,1885-01-01,1.18
164,1885-02-01,2.345
165,1885-03-01,4.803
166,1885-04-01,7.505999999999999
167,1885-05-01,10.529
168,1885-06-01,12.746
169,1885-07-01,14.088000000000001
170,1885-08-01,13.334999999999999
171,1885-09-01,11.396999999999998
172,1885-10-01,8.744
173,1885-11-01,5.413
174,1886-01-01,1.4959999999999998
175,1886-02-01,1.8240000000000003
176,1886-03-01,4.286
177,1886-04-01,7.9959999999999996
178,1886-05-01,10.744
179,1886-06-01,12.849
180,1886-07-01,14.249
181,1886-08-01,13.279
182,1886-09-01,11.549999999999999
183,1886-10-01,8.562
184,1886-11-01,5.266
185,1886-12-01,3.6799999999999997
186,1887-01-01,0.9039999999999999
187,1887-02-01,2.1580000000000004
188,1887-03-01,4.5920000000000005
189,1887-04-01,7.828999999999999
190,1887-05-01,10.809
191,1887-06-01,12.824
192,1887-07-01,14.079
193,1887-08-01,13.077
194,1887-09-01,11.723999999999998
195,1887-10-01,8.728
196,1887-11-01,5.633
197,1887-12-01,2.965
198,1888-01-01,1.9219999999999997
199,1888-02-01,2.1740000000000004
200,1888-03-01,4.436
201,1888-04-01,7.847999999999999
202,1888-05-01,10.67
203,1888-06-01,12.913
204,1888-07-01,14.264000000000001
205,1888-08-01,13.542
206,1888-09-01,11.748
207,1888-10-01,9.197
208,1888-11-01,5.846
209,1888-12-01,3.3819999999999997
210,1889-01-01,1.9069999999999998
211,1889-02-01,3.592
212,1889-03-01,5.37
213,1889-04-01,8.625
214,1889-05-01,11.184999999999999
215,1889-06-01,13.323
216,1889-07-01,14.269
217,1889-08-01,13.479
218,1889-09-01,11.546999999999999
219,1889-10-01,8.758999999999999
220,1889-11-01,5.042
221,1889-12-01,3.162
222,1890-01-01,1.884
223,1890-02-01,2.5060000000000002
224,1890-03-01,4.25
225,1890-04-01,7.819999999999999
226,1890-05-01,10.421999999999999
227,1890-06-01,12.822
228,1890-07-01,14.007
229,1890-08-01,13.276
230,1890-09-01,11.562
231,1890-10-01,9.149999999999999
232,1890-11-01,4.973000000000001
233,1890-12-01,2.984
